barcode	trs_raw	trs_cap_01	trs_cap_1	trs_cap_5	celltype
BMM_R2_9155	0.985336881135906	2.15636556405513	2.95629381948275	4.12408653048584	18_Plasma
BMM_R2_9156	0.683576468754161	1.49597643794738	2.05092585937929	2.86108087631531	16_Pre.B
BMM_R2_9158	0.238248201787649	0.521395502257754	0.714813075539957	0.997177938546477	16_Pre.B
BMM_R2_9160	0.123782763793074	0.270893025905258	0.371383865321372	0.518087609058973	08_GMP.Neut
BMM_R2_9161	0.464223005361262	1.01593122308505	1.39280242918454	1.94298607938534	16_Pre.B
BMM_R2_9162	0.827867489587254	1.81175086442389	2.48384038969097	3.46500494216557	09_pDC
BMM_R2_9163	0.439689771892121	0.962241342151333	1.31919567816844	1.84030325117058	16_Pre.B
BMM_R2_9164	0.51387680195944	1.12459632956667	1.54177808898916	2.15080997967614	09_pDC
BMM_R2_9165	0.540713925574868	1.18332817073747	1.62229717255936	2.26313564426689	09_pDC
BMM_R2_9174	0.340004673039837	0.744084974994254	1.02011173310002	1.42307541636861	11_CD14.Mono.1
BMM_R2_9175	0.362045471909692	0.792320274613235	1.08624046401721	1.51532626324195	07_GMP
BMM_R2_9177	0.954303848785597	2.08845116483841	2.86318580384523	3.99419906441586	02_Early.Eryth
BMM_R2_6318	0.203432891508036	0.445203757458447	0.610357139125254	0.851459905528859	07_GMP
BMM_R2_9178	1.54106629784403	3.37255446357177	4.62364178074553	5.66983846226515	03_Late.Eryth
BMM_R2_5090	0.286828515885928	0.627711340442705	0.860567979336623	1.2005088224859	11_CD14.Mono.1
BMM_R2_9179	0.68337954222127	1.4955454730639	2.05033502318588	2.86025664850313	08_GMP.Neut
BMM_R2_9180	0.495087787868955	1.08347741506856	1.48540564694087	2.07216934273748	01_HSC
BMM_R2_9181	0.155044946192425	0.33930890972507	0.465179396961474	0.648934173127624	13_Unk
BMM_R2_9182	1.62804711644519	3.56290808328875	4.88460923397605	5.66983846226515	02_Early.Eryth
BMM_R2_9183	0.403001713451288	0.881951172009066	1.20912095906078	1.68674690862194	07_GMP
BMM_R2_9185	0.648415989895409	1.41902930719623	1.94543431802913	2.71391815456714	01_HSC
BMM_R2_4467	1.04425317082802	2.28530122117527	3.13305962051809	4.37067821034395	02_Early.Eryth
BMM_R2_9187	0.443687236675138	0.970989614510411	1.33118922134933	1.85703447374364	11_CD14.Mono.1
BMM_R2_9188	0.499211223896285	1.09250136984498	1.49777714005759	2.08942781271378	22_CD4.M
BMM_R2_9189	0.98713062519365	2.1602910924616	2.96167556716028	4.13159417162798	02_Early.Eryth
BMM_R2_9190	0.461268979816235	1.00946647069164	1.38393950359173	1.93062212834059	11_CD14.Mono.1
BMM_R2_9191	1.58366620032601	3.46578243920417	4.75145373098214	5.66983846226515	02_Early.Eryth
BMM_R2_9192	0.134165385679766	0.293614928159903	0.402534714844296	0.561543641096128	13_Unk
BMM_R2_9194	1.52085319618675	3.32831899731554	4.56299666672816	5.66983846226515	02_Early.Eryth
BMM_R2_9197	0.648689798974192	1.4196285260826	1.9462558239555	2.71506417107718	07_GMP
BMM_R2_7878	0.644464567774852	1.41038179713856	1.93357891606782	2.69737964164264	04_Early.Baso
BMM_R2_9200	0.299653513939911	0.655778273379186	0.899046659276179	1.25418731837958	08_GMP.Neut
BMM_R2_8989	0.571036987455205	1.24968883142855	1.71327507274847	2.39005155846633	07_GMP
BMM_R2_9210	0.402856253454933	0.881632839332097	1.20868453726795	1.68613809185766	11_CD14.Mono.1
BMM_R2_9211	0.268711998515544	0.588064154849626	0.806213220717546	1.12468289259644	16_Pre.B
BMM_R2_9212	0.731892949291354	1.60171488821896	2.19588918666954	3.06330749585908	14_Unk
BMM_R2_9213	0.655241356427007	1.43396631567786	1.96591237916677	2.7424854422811	20_CD4.N1
BMM_R2_9215	0.0299058630434266	0.0654476397512409	0.0897261837795608	0.125169745821113	24_CD8.CM
BMM_R2_8890	0.468417580746756	1.02511086315564	1.4053873608205	1.96054230018617	22_CD4.M
BMM_R2_9216	0.790382820103795	1.72971734674927	2.37137560851729	3.30811441723339	01_HSC
BMM_R2_9217	0.58523613659409	1.28076303237258	1.75587660086016	2.44948150656746	01_HSC
BMM_R2_9220	0.393293828521303	0.860705901316775	1.1799945143207	1.64611496005111	11_CD14.Mono.1
BMM_R2_9202	0.310823196887224	0.680222623458961	0.932558918174532	1.30093756174782	16_Pre.B
BMM_R2_9205	0.699457265984488	1.53073085030404	2.09857281505434	2.92754929255429	22_CD4.M
BMM_R2_9206	0.844834649376181	1.84888273250792	2.53474674525168	3.53602028370586	09_pDC
BMM_R2_9208	0.460950587643145	1.00876968370329	1.3829842355697	1.92928951114378	07_GMP
BMM_R2_9224	0.5332128672586	1.16691244109531	1.59979184188057	2.23174027669387	07_GMP
BMM_R2_9225	0.15101383771409	0.330487009647981	0.453084913025759	0.632062136267233	08_GMP.Neut
BMM_R2_9228	0.117593963099704	0.257349113205472	0.352815684641147	0.492184641182681	07_GMP
BMM_R2_9231	0.791299285370449	1.73172298987448	2.37412526770031	3.31195024448621	17_B
BMM_R2_1284	0.279110628806988	0.610821090779963	0.837412100055383	1.16820592714581	11_CD14.Mono.1
BMM_R2_9235	0.909037536574291	1.98938787112337	2.72737385812085	3.80473879752703	20_CD4.N1
BMM_R2_836	0.41908398754914	0.917146507452438	1.25737240324086	1.75405859790944	08_GMP.Neut
BMM_R2_9262	0.406179517004743	0.888905652535667	1.21865528299045	1.70004747321283	11_CD14.Mono.1
BMM_R2_9263	0.479155332150084	1.04860995042702	1.43760370095405	2.00548471204344	07_GMP
